airfoil,reynolds,max_CL,stall_angle,min_CD,max_CL_CD,best_alpha,CL_at_0
ag04,150000,1.058,9.0,0.00832,53.25342465753425,4.0,0.1302
ag09,150000,0.9895,9.0,0.00814,50.949999999999996,3.0,0.1444
ag10,150000,0.9829,8.0,0.00809,46.99596774193548,5.0,0.1362
clarky,150000,1.3769,13.0,0.01251,64.64335664335664,5.0,0.4345
e168,150000,1.0511,12.0,0.01179,46.89262147570486,7.0,0.0
e176,150000,1.2398,11.0,0.01084,67.8133704735376,6.0,0.3464
e186,150000,0.9761,10.0,0.01296,52.43886743886743,7.0,0.1259
e193,150000,1.2613,12.0,0.01123,71.10472541507023,7.0,0.4185
e195,150000,1.2177,13.0,0.01246,69.84966927239928,8.0,0.4142
e197,150000,1.19,9.0,0.01403,66.3176265270506,8.0,0.2746
e203,150000,1.2289,14.0,0.01416,68.4251036116045,8.0,0.3315
e207,150000,1.1711,14.0,0.01162,64.83205657041839,8.0,0.3537
e210,150000,1.4753,11.0,0.01352,67.98003802281369,9.0,0.5233
e216,150000,1.5837,14.0,0.01397,86.07142857142857,5.0,0.6051
e220,150000,1.1216,13.0,0.01436,65.94630872483222,7.0,0.3347
e222,150000,1.2531,11.0,0.01131,68.28197226502311,5.0,0.3101
e228,150000,0.8976,10.0,0.01082,46.6407465007776,5.0,0.1218
e230,150000,0.7805,9.0,0.01037,38.141072740631884,5.0,0.0339
e387,150000,1.3052,12.0,0.01098,74.57839262187089,7.0,0.4091
e395,150000,1.4958,9.0,0.01688,78.26666666666667,8.0,0.6393
e398,150000,1.5781,10.0,0.01701,70.14959202175885,9.0,0.6411
e399,150000,1.5675,10.0,0.01739,69.27059882935615,9.0,0.6373
fx60126,150000,1.5486,14.0,0.01379,70.65025252525253,6.0,0.489
fx66s196,150000,1.272,14.0,0.02189,20.33248081841432,14.0,0.2749
goe225,150000,1.8559,13.0,0.01729,77.71379703534778,4.0,0.9307
goe226,150000,1.9574,12.0,0.01815,73.24911571500759,5.0,0.9242
goe227,150000,1.8719,11.0,0.0198,71.91906005221932,7.0,0.9379
goe228,150000,1.9142,13.0,0.01772,60.77430708315002,5.0,0.8714
goe535,150000,1.7204,15.0,0.0164,57.41935483870968,7.0,0.6489
mh42,150000,1.0852,10.0,0.01002,59.847272727272724,6.0,0.2463
mh43,150000,1.0257,10.0,0.00983,58.46469622331691,5.0,0.2262
mh44,150000,1.1182,11.0,0.01065,54.02330363262509,6.0,0.2379
mh45,150000,1.1802,12.0,0.01094,53.968033356497564,6.0,0.1762
mh60,150000,1.1488,12.0,0.01132,54.57814661134163,6.0,0.1951
mh61,150000,1.0,10.0,0.01189,56.52077151335312,6.0,0.1777
mh62,150000,1.0977,11.0,0.01046,54.02777777777778,6.0,0.1876
mh78,150000,1.0054,9.0,0.01381,33.256293850598425,6.0,0.204
naca0010,150000,0.93,10.0,0.01037,40.94214876033058,4.0,0.0
naca0015,150000,1.1823,13.0,0.01327,44.56891495601173,6.0,0.0
naca1408,150000,0.9096,8.0,0.00948,50.91964285714286,4.0,0.0205
naca1412,150000,1.1753,12.0,0.0115,51.77810433504776,5.0,0.1758
naca2408,150000,1.0772,9.0,0.01041,60.346666666666664,4.0,0.1938
naca2412,150000,1.3023,13.0,0.01156,59.67871485943775,6.0,0.3328
naca2415,150000,1.3397,15.0,0.01334,56.86891814539211,7.0,0.2263
naca2418,150000,1.2964,15.0,0.01449,53.618697478991585,7.0,0.2211
naca4412,150000,1.4615,15.0,0.01225,68.75787063537493,7.0,0.4878
naca4415,150000,1.3827,15.0,0.01399,62.366331392271036,7.0,0.5268
naca4418,150000,1.4557,14.0,0.01516,57.661715380929564,7.0,0.4422
s1020,150000,1.5161,10.0,0.01779,68.16597890875745,9.0,0.5561
s1046,150000,1.101,13.0,0.01529,47.56937307297019,8.0,-0.0
s1048,150000,0.9994,13.0,0.01307,49.201964395334564,7.0,0.0
s1091,150000,1.6336,12.0,0.01113,85.03585657370517,4.0,0.5868
s1210,150000,1.9853,15.0,0.01578,74.96847414880203,7.0,1.0452
s1221,150000,1.9241,13.0,0.01505,58.91033623910336,12.0,0.666
s1223,150000,2.2926,12.0,0.01937,64.99209486166008,4.0,1.1858
s2027,150000,1.3525,12.0,0.01437,59.75421686746988,9.0,0.2689
sd2030,150000,1.1604,10.0,0.01125,66.08943089430893,5.0,0.1569
sd6060,150000,1.1229,11.0,0.01219,62.6044776119403,6.0,0.3408
sd6080,150000,1.3354,13.0,0.01165,72.87927695287281,7.0,0.4156
sd7003,150000,1.2,11.0,0.00925,51.77745664739884,5.0,0.1973
sd7032,150000,1.4288,13.0,0.01145,68.93059490084985,5.0,0.4437
sd7037,150000,1.3208,13.0,0.01088,66.70149253731343,5.0,0.3699
sd7062,150000,1.6006,15.0,0.01324,60.94154164511122,7.0,0.4148
sd7080,150000,1.2539,12.0,0.01051,62.156716417910445,5.0,0.308
ag08,300000,1.0713,9.0,0.00813,66.19565217391305,5.0,-0.0603
ag12,300000,1.1081,9.0,0.00816,69.41613588110404,4.0,-0.1359
clarky,300000,1.4044,13.0,0.00814,84.71486761710794,4.0,0.4298
e168,300000,1.08,13.0,0.00903,62.373817034700316,7.0,0.0
e176,300000,1.2575,11.0,0.00826,92.16524216524218,6.0,0.4394
e186,300000,0.9942,11.0,0.0092,69.91279069767442,6.0,0.1041
e193,300000,1.2852,13.0,0.00821,95.33953488372093,6.0,0.4143
e195,300000,1.2462,15.0,0.00879,93.78983634797588,7.0,0.3517
e197,300000,1.1949,15.0,0.00967,91.44939965694682,7.0,0.288
e203,300000,1.235,15.0,0.00976,91.86971235194585,7.0,0.3477
e207,300000,1.1836,10.0,0.00862,86.30912162162163,7.0,0.2544
e210,300000,1.4707,11.0,0.00937,93.64201796821008,8.0,0.545
e214,300000,1.4247,12.0,0.00864,102.59086672879776,5.0,0.5885
e220,300000,1.1284,14.0,0.00911,88.91838741396263,6.0,0.3016
e222,300000,1.2838,12.0,0.00822,87.6353591160221,4.0,0.1243
e228,300000,0.9516,10.0,0.0082,58.16602316602317,5.0,0.3034
e230,300000,0.8368,9.0,0.00816,45.52356020942409,5.0,0.0303
e387,300000,1.3331,12.0,0.00803,98.22975517890772,6.0,0.3992
e392,300000,1.3786,13.0,0.0082,100.64958828911254,6.0,0.4468
e395,300000,1.4892,12.0,0.01014,111.4668901927913,6.0,0.7113
e398,300000,1.5711,10.0,0.01117,104.03047091412742,8.0,0.6867
e399,300000,1.5639,10.0,0.01132,102.8305785123967,8.0,0.6823
fx60126,300000,1.5366,15.0,0.00962,90.94931617055511,6.0,0.506
fx63137,300000,1.7257,15.0,0.01058,103.34061135371178,5.0,0.9058
fx66s196,300000,1.4573,11.0,0.01297,81.24647490129723,10.0,0.4456
fx76mp140,300000,1.6943,14.0,0.01328,105.17216117216117,6.0,0.8227
goe225,300000,1.865,13.0,0.01148,99.0255376344086,5.0,0.9626
goe226,300000,1.9234,13.0,0.01212,95.99867724867725,5.0,0.9505
goe227,300000,1.8441,12.0,0.01261,108.45213849287168,6.0,0.974
goe228,300000,1.9201,14.0,0.01189,81.03372028745164,6.0,0.8859
goe535,300000,1.7314,15.0,0.01231,80.7662192393736,8.0,0.6496
mh42,300000,1.0967,11.0,0.00811,76.3157894736842,5.0,-0.1455
mh44,300000,1.1427,12.0,0.00807,69.0782953419227,5.0,-0.1183
mh45,300000,1.2082,13.0,0.00826,69.73045822102426,6.0,-0.1359
mh60,300000,1.1895,12.0,0.00824,70.79892280071813,6.0,-0.2276
