alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,CL_CD,airfoil,reynolds
-5.0,-0.4426,0.01682,0.00888,-0.0318,0.99,0.1027,-26.31391200951248,naca2412,200000
-4.0,-0.2847,0.01468,0.00713,-0.0424,0.9713,0.1855,-19.393732970027248,naca2412,200000
-3.0,-0.1339,0.013,0.00622,-0.0512,0.9475,0.3634,-10.299999999999999,naca2412,200000
-2.0,0.0038,0.01123,0.00555,-0.0558,0.9201,0.6324,0.3383793410507569,naca2412,200000
-1.0,0.1195,0.01017,0.00518,-0.0528,0.8846,0.8688,11.75024582104228,naca2412,200000
0.0,0.286,0.01001,0.00485,-0.0608,0.8392,0.9789,28.57142857142857,naca2412,200000
1.0,0.4258,0.0098,0.00424,-0.0662,0.7719,1.0,43.44897959183674,naca2412,200000
2.0,0.5193,0.01005,0.0041,-0.0621,0.6973,1.0,51.67164179104478,naca2412,200000
3.0,0.6136,0.01062,0.00432,-0.0582,0.6255,1.0,57.777777777777786,naca2412,200000
4.0,0.7081,0.01141,0.00483,-0.0543,0.5577,1.0,62.059596844872914,naca2412,200000
5.0,0.801,0.01229,0.00554,-0.0503,0.4799,1.0,65.17493897477624,naca2412,200000
6.0,0.8912,0.01338,0.00642,-0.0461,0.3855,1.0,66.6068759342302,naca2412,200000
7.0,0.9731,0.01526,0.00785,-0.0411,0.2573,1.0,63.76802096985583,naca2412,200000
8.0,1.037,0.01896,0.01076,-0.0341,0.1225,1.0,54.69409282700421,naca2412,200000
9.0,1.0982,0.02292,0.01462,-0.0268,0.0875,1.0,47.91448516579407,naca2412,200000
10.0,1.1605,0.02701,0.01882,-0.0201,0.0733,1.0,42.965568308034065,naca2412,200000
11.0,1.2252,0.03171,0.02378,-0.0146,0.0632,1.0,38.63765373699148,naca2412,200000
12.0,1.2808,0.03736,0.02983,-0.009,0.0549,1.0,34.28265524625268,naca2412,200000
13.0,1.3172,0.04431,0.03722,-0.0029,0.0482,1.0,29.72692394493342,naca2412,200000
14.0,1.3197,0.05245,0.04601,0.0031,0.0432,1.0,25.161105815061966,naca2412,200000
15.0,1.2861,0.06682,0.06119,0.0051,0.0403,1.0,19.247231367853935,naca2412,200000
-5.0,-0.1466,0.01934,0.01174,-0.0963,0.9352,0.0824,-7.580144777662875,naca4412,200000
-4.0,0.003,0.01639,0.00871,-0.1036,0.918,0.115,0.18303843807199513,naca4412,200000
-3.0,0.1342,0.01437,0.00686,-0.1067,0.8934,0.182,9.338900487125958,naca4412,200000
-2.0,0.254,0.01274,0.00566,-0.1074,0.8618,0.3065,19.937205651491368,naca4412,200000
-1.0,0.3582,0.0107,0.00498,-0.1046,0.8222,0.6829,33.476635514018696,naca4412,200000
0.0,0.4937,0.01005,0.00448,-0.1071,0.7758,1.0,49.12437810945274,naca4412,200000
1.0,0.5988,0.01039,0.00431,-0.105,0.7246,1.0,57.632338787295474,naca4412,200000
2.0,0.7038,0.01097,0.00451,-0.1032,0.6752,1.0,64.15679124886053,naca4412,200000
