alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,CL_CD,airfoil,reynolds
-5.0,-0.3846,0.03128,0.02555,-0.0381,1.0,0.044,-12.295396419437338,ag04,150000
-4.0,-0.2774,0.01837,0.01042,-0.0365,1.0,0.042,-15.100707675557974,ag04,150000
-3.0,-0.173,0.01296,0.00493,-0.0341,1.0,0.1084,-13.348765432098766,ag04,150000
-2.0,-0.0733,0.00982,0.0034,-0.0325,1.0,0.4814,-7.464358452138493,ag04,150000
-1.0,0.0323,0.00832,0.00282,-0.03,1.0,1.0,3.882211538461539,ag04,150000
0.0,0.1302,0.00883,0.00298,-0.0288,1.0,1.0,14.74518686296716,ag04,150000
1.0,0.3183,0.00891,0.00296,-0.0441,0.9233,1.0,35.72390572390573,ag04,150000
2.0,0.4237,0.0092,0.00294,-0.0395,0.7829,1.0,46.05434782608696,ag04,150000
3.0,0.5215,0.01018,0.00334,-0.0346,0.6199,1.0,51.2278978388998,ag04,150000
4.0,0.622,0.01168,0.00424,-0.0317,0.4438,1.0,53.25342465753425,ag04,150000
5.0,0.7228,0.01372,0.00578,-0.0297,0.2883,1.0,52.68221574344023,ag04,150000
6.0,0.8217,0.01642,0.00814,-0.0281,0.1537,1.0,50.04263093788063,ag04,150000
7.0,0.9149,0.02107,0.01273,-0.0255,0.065,1.0,43.42192691029901,ag04,150000
8.0,1.0013,0.02932,0.02165,-0.0219,0.036,1.0,34.150750341064125,ag04,150000
9.0,1.058,0.04363,0.03755,-0.0176,0.0271,1.0,24.24936969974788,ag04,150000
10.0,1.0399,0.06428,0.05985,-0.0146,0.0274,1.0,16.177660236465464,ag04,150000
11.0,0.9232,0.10549,0.10191,-0.0449,0.0362,1.0,8.751540430372547,ag04,150000
12.0,0.8661,0.1482,0.14436,-0.0668,0.0703,1.0,5.84412955465587,ag04,150000
13.0,0.8818,0.16596,0.16208,-0.0702,0.0607,1.0,5.313328512894674,ag04,150000
