airfoil,reynolds,max_CL,stall_angle,min_CD,max_CL_CD,best_alpha,CL_at_0,n_points,max_camber,max_camber_loc,max_thickness,max_thickness_loc,le_thickness,te_thickness,camber_at_25,camber_area
clarky,150000,1.3769,13.0,0.01251,64.64335664335664,5.0,0.4345,21,0.03432,0.416,0.11705,0.277,0.09232,0.02777,0.03015,0.02285
e168,150000,1.0511,12.0,0.01179,46.89262147570486,7.0,0.0,21,0.0,0.01,0.12442,0.267,0.09764,0.01775,0.0,0.0
e186,150000,0.9761,10.0,0.01296,52.43886743886743,7.0,0.1259,20,0.01312,0.267,0.10263,0.307,0.0743,0.01694,0.01285,0.00702
e193,150000,1.2613,12.0,0.01123,71.10472541507023,7.0,0.4185,21,0.03572,0.406,0.10217,0.317,0.07474,0.01889,0.03057,0.02302
e195,150000,1.2177,13.0,0.01246,69.84966927239928,8.0,0.4142,21,0.03189,0.436,0.11807,0.337,0.08384,0.02089,0.02688,0.02056
e197,150000,1.19,9.0,0.01403,66.3176265270506,8.0,0.2746,21,0.02805,0.436,0.13474,0.347,0.09328,0.02287,0.02308,0.01801
e203,150000,1.2289,14.0,0.01416,68.4251036116045,8.0,0.3315,21,0.02673,0.495,0.13622,0.327,0.09452,0.02278,0.01993,0.01799
e207,150000,1.1711,14.0,0.01162,64.83205657041839,8.0,0.3537,21,0.02504,0.386,0.12019,0.297,0.08659,0.02188,0.0228,0.01618
e210,150000,1.4753,11.0,0.01352,67.98003802281369,9.0,0.5233,20,0.04015,0.465,0.13636,0.317,0.09748,0.02395,0.03413,0.02889
e216,150000,1.5837,14.0,0.01397,86.07142857142857,5.0,0.6051,21,0.05169,0.545,0.10419,0.277,0.08178,0.01688,0.03818,0.03695
e220,150000,1.1216,13.0,0.01436,65.94630872483222,7.0,0.3347,21,0.02461,0.376,0.11459,0.337,0.08043,0.0223,0.02214,0.01377
e222,150000,1.2531,11.0,0.01131,68.28197226502311,5.0,0.3101,20,0.02518,0.505,0.10165,0.307,0.07723,0.01788,0.0201,0.01801
e228,150000,0.8976,10.0,0.01082,46.6407465007776,5.0,0.1218,20,0.0028,0.317,0.10062,0.287,0.07658,0.01765,0.00271,0.00165
e230,150000,0.7805,9.0,0.01037,38.14107274063189,5.0,0.0339,15,0.00793,0.743,0.09954,0.297,0.07617,0.01755,-0.00355,0.00505
e387,150000,1.3052,12.0,0.01098,74.57839262187089,7.0,0.4091,21,0.03795,0.406,0.09063,0.307,0.06742,0.01308,0.03298,0.0245
e395,150000,1.4958,9.0,0.01688,78.26666666666667,8.0,0.6393,21,0.05245,0.525,0.12289,0.297,0.09251,0.01866,0.03849,0.03546
e398,150000,1.5781,10.0,0.01701,70.14959202175885,9.0,0.6411,21,0.05298,0.475,0.14159,0.297,0.10419,0.02004,0.0401,0.03564
e399,150000,1.5675,10.0,0.01739,69.27059882935615,9.0,0.6373,21,0.05135,0.505,0.14833,0.297,0.10825,0.02071,0.03782,0.03459
fx60126,150000,1.5486,14.0,0.01379,70.65025252525253,6.0,0.489,21,0.03563,0.564,0.1259,0.277,0.09707,0.01184,0.02586,0.02488
goe225,150000,1.8559,13.0,0.01729,77.71379703534778,4.0,0.9307,20,0.07621,0.495,0.12825,0.208,0.10773,0.02179,0.05807,0.05132
goe226,150000,1.9574,12.0,0.01815,73.24911571500759,5.0,0.9242,21,0.08074,0.495,0.13886,0.198,0.11592,0.0178,0.06381,0.05392
goe227,150000,1.8719,11.0,0.0198,71.91906005221932,7.0,0.9379,20,0.07832,0.505,0.14581,0.248,0.11388,0.01803,0.05921,0.05237
goe228,150000,1.9142,13.0,0.01772,60.77430708315002,5.0,0.8714,21,0.07003,0.495,0.17853,0.297,0.1343,0.02694,0.05819,0.04921
goe535,150000,1.7204,15.0,0.0164,57.41935483870968,7.0,0.6489,21,0.05743,0.495,0.1605,0.267,0.13635,0.02102,0.04887,0.04044
mh42,150000,1.0852,10.0,0.01002,59.84727272727272,6.0,0.2463,21,0.01892,0.376,0.08932,0.287,0.06886,0.01324,0.0175,0.01183
mh43,150000,1.0257,10.0,0.00983,58.46469622331691,5.0,0.2262,20,0.01777,0.386,0.08489,0.287,0.06544,0.01127,0.01613,0.01096
mh44,150000,1.1182,11.0,0.01065,54.02330363262509,6.0,0.2379,19,0.01537,0.366,0.09654,0.277,0.07572,0.01612,0.01456,0.00947
mh45,150000,1.1802,12.0,0.01094,53.96803335649757,6.0,0.1762,21,0.01706,0.327,0.09842,0.267,0.07856,0.01098,0.01632,0.01008
mh60,150000,1.1488,12.0,0.01132,54.57814661134163,6.0,0.1951,21,0.01818,0.366,0.1008,0.277,0.07953,0.01159,0.01733,0.01087
mh61,150000,1.0,10.0,0.01189,56.52077151335312,6.0,0.1777,20,0.01514,0.366,0.10234,0.277,0.07518,0.0125,0.01378,0.00865
mh62,150000,1.0977,11.0,0.01046,54.02777777777778,6.0,0.1876,19,0.01643,0.376,0.09288,0.277,0.07374,0.01076,0.01543,0.00997
mh78,150000,1.0054,9.0,0.01381,33.256293850598425,6.0,0.204,15,0.02681,0.168,0.14448,0.208,0.12546,0.01768,0.02454,0.01159
naca0010,150000,0.93,10.0,0.01037,40.94214876033058,4.0,0.0,18,0.0,0.01,0.09998,0.297,0.07796,0.02413,0.0,0.0
naca0015,150000,1.1823,13.0,0.01327,44.56891495601173,6.0,0.0,21,0.0,0.01,0.14995,0.297,0.11694,0.03618,0.0,0.0
naca1408,150000,0.9096,8.0,0.00948,50.91964285714286,4.0,0.0205,14,0.00998,0.406,0.07999,0.297,0.06241,0.0193,0.0086,0.00666
naca1412,150000,1.1753,12.0,0.0115,51.77810433504776,5.0,0.1758,21,0.00998,0.406,0.11999,0.297,0.09359,0.02895,0.00862,0.00671
