  
       XFOIL         Version 6.99
  
 Calculated polar for: AIRFOIL                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1909   0.02224   0.01499  -0.0858   0.9410   0.0653
  -4.000  -0.0605   0.01848   0.01072  -0.0893   0.9192   0.0719
  -3.000   0.0668   0.01553   0.00769  -0.0915   0.8975   0.0870
  -2.000   0.1751   0.01271   0.00578  -0.0901   0.8662   0.2942
  -1.000   0.2708   0.01037   0.00534  -0.0841   0.8309   0.8761
   0.000   0.4424   0.01016   0.00470  -0.0952   0.7954   1.0000
   1.000   0.5419   0.01026   0.00437  -0.0921   0.7544   1.0000
   2.000   0.6403   0.01053   0.00433  -0.0887   0.7081   1.0000
   3.000   0.7370   0.01092   0.00449  -0.0851   0.6519   1.0000
   4.000   0.8324   0.01152   0.00480  -0.0812   0.5801   1.0000
   5.000   0.9227   0.01266   0.00551  -0.0768   0.4910   1.0000
   6.000   1.0116   0.01408   0.00660  -0.0727   0.4164   1.0000
   7.000   1.1032   0.01563   0.00805  -0.0695   0.3699   1.0000
   8.000   1.1918   0.01726   0.00978  -0.0659   0.3278   1.0000
   9.000   1.2663   0.01891   0.01155  -0.0602   0.2720   1.0000
  10.000   1.3158   0.02138   0.01392  -0.0512   0.1848   1.0000
  11.000   1.3495   0.02580   0.01818  -0.0421   0.1313   1.0000
  12.000   1.3858   0.03070   0.02324  -0.0355   0.0937   1.0000
  13.000   1.3907   0.03921   0.03163  -0.0292   0.0388   1.0000
  14.000   1.3753   0.05122   0.04401  -0.0257   0.0299   1.0000
  15.000   1.3452   0.06700   0.06026  -0.0263   0.0268   1.0000
