  
       XFOIL         Version 6.99
  
 Calculated polar for: E387                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.4037   0.00984   0.00378  -0.0832   0.7197   1.0000
   1.000   0.5122   0.01042   0.00393  -0.0825   0.6940   1.0000
   2.000   0.6205   0.01106   0.00440  -0.0820   0.6678   1.0000
   3.000   0.7286   0.01174   0.00505  -0.0813   0.6412   1.0000
   4.000   0.8357   0.01230   0.00567  -0.0803   0.6103   1.0000
   5.000   0.9414   0.01273   0.00626  -0.0788   0.5733   1.0000
   6.000   1.0431   0.01284   0.00662  -0.0764   0.5164   1.0000
   7.000   1.1316   0.01372   0.00734  -0.0721   0.3675   1.0000
   8.000   1.1622   0.02082   0.01232  -0.0623   0.0423   1.0000
   9.000   1.1970   0.02618   0.01801  -0.0523   0.0275   1.0000
  10.000   1.2235   0.03334   0.02549  -0.0433   0.0245   1.0000
  11.000   1.2900   0.04105   0.03381  -0.0387   0.0223   1.0000
  12.000   1.3174   0.05434   0.04838  -0.0329   0.0232   1.0000
