  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1466   0.01934   0.01174  -0.0963   0.9352   0.0824
  -4.000   0.0030   0.01639   0.00871  -0.1036   0.9180   0.1150
  -3.000   0.1342   0.01437   0.00686  -0.1067   0.8934   0.1820
  -2.000   0.2540   0.01274   0.00566  -0.1074   0.8618   0.3065
  -1.000   0.3582   0.01070   0.00498  -0.1046   0.8222   0.6829
   0.000   0.4937   0.01005   0.00448  -0.1071   0.7758   1.0000
   1.000   0.5988   0.01039   0.00431  -0.1050   0.7246   1.0000
   2.000   0.7038   0.01097   0.00451  -0.1032   0.6752   1.0000
   3.000   0.8083   0.01171   0.00499  -0.1014   0.6290   1.0000
   4.000   0.9126   0.01256   0.00569  -0.0998   0.5863   1.0000
   5.000   1.0155   0.01352   0.00657  -0.0980   0.5448   1.0000
   6.000   1.1122   0.01444   0.00743  -0.0950   0.4940   1.0000
   7.000   1.2001   0.01536   0.00845  -0.0905   0.4333   1.0000
   8.000   1.2798   0.01670   0.00982  -0.0849   0.3635   1.0000
   9.000   1.3266   0.01944   0.01217  -0.0745   0.2407   1.0000
  10.000   1.3275   0.02555   0.01752  -0.0598   0.1188   1.0000
  11.000   1.3429   0.03209   0.02407  -0.0501   0.0890   1.0000
  12.000   1.3641   0.03916   0.03125  -0.0433   0.0746   1.0000
  13.000   1.3923   0.04629   0.03858  -0.0382   0.0639   1.0000
  14.000   1.4180   0.05406   0.04669  -0.0342   0.0549   1.0000
  15.000   1.4341   0.06336   0.05643  -0.0311   0.0473   1.0000
