  
       XFOIL         Version 6.99
  
 Calculated polar for: S1223                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   1.1864   0.01804   0.00925  -0.2712   0.4860   0.2929
   1.000   1.3047   0.01928   0.01035  -0.2720   0.4644   0.3835
   2.000   1.4305   0.02039   0.01132  -0.2747   0.4474   0.4534
   3.000   1.5503   0.02140   0.01269  -0.2761   0.4328   0.6154
   4.000   1.6448   0.02235   0.01404  -0.2720   0.4206   1.0000
   5.000   1.7613   0.02435   0.01581  -0.2732   0.4093   1.0000
   6.000   1.8608   0.02606   0.01771  -0.2708   0.3974   1.0000
   7.000   1.9600   0.02818   0.02000  -0.2687   0.3853   1.0000
   8.000   2.0594   0.03016   0.02202  -0.2666   0.3721   1.0000
   9.000   2.1398   0.03191   0.02414  -0.2608   0.3579   1.0000
  12.000   2.2761   0.03889   0.03233  -0.2255   0.3070   1.0000
